date, G Fund, F Fund, C Fund, S Fund, I Fund
1/30/15,14.6429,17.1589,26.352,35.6254,24.5077
1/29/15,14.6412,17.0998,26.6987,36.1736,24.6362
1/28/15,14.6403,17.1214,26.4441,35.8522,24.5123
1/27/15,14.6395,17.0499,26.8042,36.3917,24.8437
1/26/15,14.6386,17.0437,27.167,36.6099,24.6364
1/23/15,14.6361,17.0529,27.0968,36.217,24.4429
1/22/15,14.6352,16.9957,27.2464,36.2781,24.4679
1/21/15,14.6344,17.0108,26.8365,35.633,24.4446
1/20/15,14.6335,17.0393,26.7066,35.5331,24.2908
1/16/15,14.6301,17.0265,26.6644,35.6341,24.1593
1/15/15,14.6292,17.0704,26.3111,35.1039,23.9768
1/14/15,14.6284,17.0285,26.556,35.606,23.7388
1/13/15,14.6275,16.997,26.7101,35.7574,23.8649
1/12/15,14.6267,16.9844,26.7763,35.7452,23.8282
1/9/15,14.6241,16.9424,26.9944,35.9343,23.7625
1/8/15,14.6232,16.9082,27.2233,36.2177,23.826
1/7/15,14.6224,16.9457,26.7443,35.6351,23.4841
1/6/15,14.6215,16.9396,26.4285,35.2122,23.4383
1/5/15,14.6207,16.886,26.6655,35.6585,23.5838
1/2/15,14.6181,16.8315,27.1599,36.2327,24.2173
12/31/14,14.6165,16.8017,27.1655,36.2964,24.2183
12/30/14,14.6157,16.778,27.4484,36.5719,24.4325
12/29/14,14.6149,16.7635,27.5798,36.7379,24.6472
12/26/14,14.6125,16.7285,27.5512,36.6123,24.5964
12/24/14,14.6109,16.7158,27.4604,36.4168,24.5994
12/23/14,14.6101,16.7109,27.4631,36.3221,24.5162
12/22/14,14.6093,16.7755,27.4135,36.2566,24.587
12/19/14,14.6069,16.7603,27.3058,36.1134,24.4808
12/18/14,14.6061,16.7382,27.1816,35.9458,24.5082
12/17/14,14.6053,16.759,26.5396,35.3337,23.912
12/16/14,14.6045,16.7989,26.0086,34.4244,23.8897
12/15/14,14.6037,16.7803,26.2313,34.5706,23.7476
12/12/14,14.6013,16.8034,26.3973,34.8823,24.1017
12/11/14,14.6005,16.7556,26.8315,35.3405,24.543
12/10/14,14.5997,16.767,26.7035,35.178,24.6789
12/9/14,14.5989,16.7364,27.1451,35.8956,24.8739
12/8/14,14.5981,16.7189,27.1514,35.6032,25.0589
12/5/14,14.5957,16.6819,27.3459,35.9886,25.1594
12/4/14,14.5949,16.7225,27.3001,35.8367,25.1328
12/3/14,14.5941,16.6992,27.3312,35.93,25.1486
12/2/14,14.5933,16.6995,27.2216,35.6347,25.1883
12/1/14,14.5908,16.7591,27.0472,35.3948,25.1881
11/28/14,14.5899,16.7673,27.2321,35.9401,25.2606
11/26/14,14.5882,16.7403,27.3001,36.2647,25.384
11/25/14,14.5874,16.726,27.2175,36.1809,25.2938
11/24/14,14.5865,16.6877,27.2454,36.1799,25.1677
11/21/14,14.584,16.6739,27.1672,35.8793,25.1421
11/20/14,14.5831,16.6494,27.0219,35.7519,24.9195
11/19/14,14.5823,16.6319,26.9676,35.4849,24.9943
11/18/14,14.5814,16.6536,27.0063,35.7028,25.0668
11/17/14,14.5806,16.6488,26.863,35.4897,24.7773
11/14/14,14.578,16.6587,26.8418,35.6505,24.886
11/13/14,14.5771,16.6405,26.8318,35.6438,24.8786
11/12/14,14.5763,16.6322,26.8156,35.83,24.8184
11/10/14,14.5746,16.6253,26.8076,35.6756,24.8371
11/7/14,14.572,16.6578,26.7224,35.5558,24.6711
11/6/14,14.5712,16.6151,26.7082,35.5202,24.7372
11/5/14,14.5703,16.6331,26.5994,35.2929,24.8304
11/4/14,14.5695,16.6363,26.4393,35.2557,24.7474
11/3/14,14.5686,16.6342,26.5139,35.4685,24.9203
10/31/14,14.5658,16.6443,26.5168,35.4684,25.1335
10/30/14,14.5648,16.6627,26.2093,34.9817,24.6477
10/29/14,14.5639,16.6483,26.0447,34.7954,24.5646
10/28/14,14.5629,16.6782,26.0786,34.9306,24.6042
10/27/14,14.562,16.6953,25.7708,34.2206,24.4127
10/24/14,14.5591,16.6787,25.8092,34.3007,24.3758
10/23/14,14.5582,16.6769,25.6281,34.1461,24.347
10/22/14,14.5572,16.7131,25.3167,33.6333,24.1746
10/21/14,14.5563,16.7284,25.4998,34.0664,24.2925
10/20/14,14.5553,16.7386,25.0095,33.3465,23.9493
10/17/14,14.5525,16.7196,24.7823,32.9743,23.8077
10/16/14,14.5515,16.7364,24.4666,32.8207,23.4959
10/15/14,14.5506,16.7924,24.4618,32.443,23.6592
10/14/14,14.5497,16.7149,24.6605,32.3077,23.9383
10/10/14,14.5458,16.6506,25.0324,32.4181,23.8319
10/9/14,14.5449,16.6352,25.3207,33.0095,24.2177
10/8/14,14.544,16.6361,25.8531,33.8122,24.7817
10/7/14,14.543,16.6121,25.4008,33.3197,24.4967
10/6/14,14.5421,16.5627,25.7904,33.864,24.7696
10/3/14,14.5392,16.5357,25.8302,34.0399,24.5586
10/2/14,14.5383,16.5364,25.5446,33.7335,24.6563
10/1/14,14.5373,16.5562,25.5425,33.5665,25.0816
9/30/14,14.5365,16.4855,25.8829,34.069,25.2928
9/29/14,14.5357,16.4889,25.9535,34.4327,25.3208
9/26/14,14.5331,16.468,26.0177,34.4888,25.4289
9/25/14,14.5323,16.4976,25.7919,34.2038,25.3979
9/24/14,14.5314,16.4484,26.2155,34.7086,25.6815
9/23/14,14.5306,16.4737,26.0109,34.4586,25.6672
9/22/14,14.5297,16.4514,26.1594,34.7369,25.8296
9/19/14,14.5272,16.4305,26.3707,35.2808,26.0002
9/18/14,14.5263,16.3959,26.383,35.5312,26.0293
9/17/14,14.5255,16.4071,26.2507,35.4208,25.9232
9/16/14,14.5247,16.4182,26.2161,35.3727,26.0089
9/15/14,14.5238,16.4159,26.0208,35.184,25.9444
9/12/14,14.5213,16.4002,26.039,35.5176,25.9894
9/11/14,14.5203,16.4575,26.1964,35.8506,26.0392
9/10/14,14.5195,16.4525,26.1661,35.6776,26.0331
9/9/14,14.5186,16.481,26.0685,35.5422,26.06
9/8/14,14.5178,16.5064,26.2394,35.8814,26.217
9/5/14,14.5152,16.5071,26.3157,35.8774,26.3313
9/4/14,14.5144,16.5145,26.1833,35.7536,26.4262
9/3/14,14.5128,16.5414,26.2208,35.8919,26.4824
9/2/14,14.5128,16.5312,26.2361,36.0285,26.2822
8/29/14,14.5109,16.5824,26.2491,35.8987,26.2962
8/28/14,14.5081,16.5811,26.1602,35.6909,26.271
8/27/14,14.5071,16.5593,26.2007,35.8006,26.4497
8/26/14,14.5062,16.533,26.1941,35.8193,26.4062
8/25/14,14.5053,16.5307,26.166,35.6464,26.3035
8/22/14,14.5024,16.5194,26.0411,35.5016,26.1332
8/21/14,14.5015,16.5148,26.0894,35.495,26.2804
8/20/14,14.5005,16.4943,26.0119,35.4474,26.1532
8/19/14,14.4996,16.508,25.9458,35.4387,26.2095
8/18/14,14.4986,16.5211,25.8115,35.2986,26.115
8/15/14,14.4958,16.5541,25.5916,34.8663,25.9344
8/14/14,14.4949,16.5187,25.5901,34.8653,25.9953
